DateTime_start,date,duration,T,Rh,Cₐ,PAR_instruction,Ri_PAR_f,Scenario,Sequence,Plant,transpiration_diff_g_s,transpiration_linear_g_s,CO2_outflux_umol_s,Wind
2021-03-13T05:05:30.0,2021-03-13T05:05:30.0,5 minutes,22.618181818181814,0.8053636363636363,418.72727272727275,1.0e-9,1.0e-9,Cloudy,4,5,1.993355481680438e-5,0.0002962030007404898,-0.26504597,10.0
2021-03-13T05:15:30.0,2021-03-13T05:15:30.0,5 minutes,22.863636363636367,0.8117272727272727,418.72727272727275,1.0e-9,1.0e-9,Cloudy,4,5,0.0001907894736841866,-3.974593964094383e-5,-0.265927521,10.0
2021-03-13T05:25:30.0,2021-03-13T05:25:30.0,5 minutes,23.345454545454547,0.8026363636363637,419.0,1.0e-9,1.0e-9,Cloudy,4,5,-0.0002588996763751691,-0.00012765076092385402,-0.262867027,10.0
2021-03-13T05:35:30.0,2021-03-13T05:35:30.0,5 minutes,23.58181818181818,0.7979090909090908,418.8181818181818,1.0e-9,1.0e-9,Cloudy,4,5,-0.0005756578947374404,-0.0005015750426882489,-0.267196328,10.0
2021-03-13T05:45:30.0,2021-03-13T05:45:30.0,5 minutes,23.781818181818185,0.7964545454545453,419.45454545454544,1.0e-9,1.0e-9,Cloudy,4,5,0.0010033112582777603,0.0010555103426582704,-0.265956227,10.0
2021-03-13T05:55:30.0,2021-03-13T05:55:30.0,5 minutes,24.0,0.7984545454545454,419.90909090909093,1.0e-9,1.0e-9,Cloudy,4,5,0.0006357615894039976,0.0005080559397270854,-0.268317177,10.0
2021-03-13T06:05:30.0,2021-03-13T06:05:30.0,5 minutes,24.263636363636365,0.8071818181818183,419.45454545454544,1.0e-9,1.0e-9,Cloudy,4,5,0.0006534653465357101,0.00070229885057547,-0.267097961,10.0
2021-03-13T06:15:30.0,2021-03-13T06:15:30.0,5 minutes,24.599999999999998,0.8085454545454546,418.90909090909093,0.01,6.489400000000001,Cloudy,4,5,9.150326797466464e-5,-0.0004427588461839938,-0.262917706,10.0
2021-03-13T06:25:30.0,2021-03-13T06:25:30.0,5 minutes,24.90909090909091,0.7992727272727272,418.1818181818182,0.02,12.978800000000001,Cloudy,4,5,0.0006622516556300425,0.000520526056419542,-0.210464666,10.0
2021-03-13T06:35:30.0,2021-03-13T06:35:30.0,5 minutes,25.118181818181814,0.8,416.72727272727275,0.028181818181818183,18.28830909090909,Cloudy,4,5,0.001762048192771194,0.0013106567107615597,-0.148243638,10.0
2021-03-13T06:45:30.0,2021-03-13T06:45:30.0,5 minutes,25.33636363636364,0.8027272727272726,416.6363636363636,0.034545454545454546,22.417927272727276,Cloudy,4,5,0.0008230452674908347,0.0005176426902394482,-0.098855827,10.0
2021-03-13T06:55:30.0,2021-03-13T06:55:30.0,5 minutes,25.55454545454545,0.8052727272727274,416.3636363636364,0.04090909090909091,26.547545454545457,Cloudy,4,5,0.0015511551155108908,0.0013259646899226884,-0.066877657,10.0
2021-03-13T07:05:30.0,2021-03-13T07:05:30.0,5 minutes,25.836363636363636,0.7998181818181819,415.1818181818182,0.05,32.447,Cloudy,4,5,0.0009933993399337652,0.00043989495870888775,-0.04011202,10.0
2021-03-13T07:15:30.0,2021-03-13T07:15:30.0,5 minutes,26.127272727272725,0.8004545454545454,415.3636363636364,0.06,38.9364,Cloudy,4,5,0.0013003300330040688,0.0012721245086757555,-0.032077552,10.0
2021-03-13T07:25:30.0,2021-03-13T07:25:30.0,5 minutes,26.572727272727274,0.7855454545454547,415.3636363636364,0.07,45.42580000000001,Cloudy,4,5,0.001900990099009973,0.0015376240461782717,-0.015394485,10.0
2021-03-13T07:35:30.0,2021-03-13T07:35:30.0,5 minutes,26.88181818181818,0.7697272727272728,415.1818181818182,0.07818181818181819,50.7353090909091,Cloudy,4,5,0.002548148148148525,0.002023272396798591,0.004628166,10.0
2021-03-13T07:45:30.0,2021-03-13T07:45:30.0,5 minutes,27.03636363636364,0.7690909090909089,414.8181818181818,0.08454545454545455,54.86492727272728,Cloudy,4,5,0.0023079470198679353,0.0024627035911745252,0.021032876,10.0
2021-03-13T07:55:30.0,2021-03-13T07:55:30.0,5 minutes,27.41818181818182,0.7738181818181817,414.45454545454544,0.09090909090909091,58.99454545454546,Cloudy,4,5,0.0023531353135319896,0.0021792415110548705,0.040904641,10.0
2021-03-13T08:05:30.0,2021-03-13T08:05:30.0,5 minutes,27.781818181818185,0.7587272727272726,413.8181818181818,0.10090909090909092,65.48394545454546,Cloudy,4,5,0.0019215686274501244,0.0016962549785288772,0.066579506,10.0
2021-03-13T08:15:30.0,2021-03-13T08:15:30.0,5 minutes,28.15454545454545,0.7463636363636365,412.45454545454544,0.11090909090909092,71.97334545454547,Cloudy,4,5,0.0025409836065576753,0.0024019695351252686,0.103384145,10.0
2021-03-13T08:25:30.0,2021-03-13T08:25:30.0,5 minutes,28.40909090909091,0.7388181818181819,411.6363636363636,0.12090909090909091,78.46274545454546,Cloudy,4,5,0.0030754098360659078,0.0023415797317440034,0.13666931,10.0
2021-03-13T08:35:30.0,2021-03-13T08:35:30.0,5 minutes,28.527272727272734,0.7358181818181818,411.54545454545456,0.13090909090909092,84.95214545454547,Cloudy,4,5,0.0010000000000000562,0.0008792670013180728,0.168303655,10.0
2021-03-13T08:45:30.0,2021-03-13T08:45:30.0,5 minutes,29.099999999999998,0.7338181818181819,411.09090909090907,0.14090909090909093,91.44154545454548,Cloudy,4,5,0.0029867549668875617,0.0023367423866687514,0.202451106,10.0
2021-03-13T08:55:30.0,2021-03-13T08:55:30.0,5 minutes,29.300000000000008,0.7106363636363637,410.27272727272725,0.1509090909090909,97.93094545454547,Cloudy,4,5,0.0029867549668875617,0.002389020839337286,0.243749545,10.0
2021-03-13T09:05:30.0,2021-03-13T09:05:30.0,5 minutes,29.336363636363636,0.7242727272727274,409.27272727272725,0.16454545454545452,106.78012727272727,Cloudy,4,5,0.002852941176470743,0.002498106445832736,0.276440759,10.0
